"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"24",24,-3,-1,4,0.1,0.668995849003217,-1.18670152125669,-1.14910098574165,0.128034212273949,-2.7049411229084,-0.0543148338831187,-2.41441568142408,-0.272866740956384,-2.09747406989763,0.392,0.522,0.702,-1.15482144632175
"25",25,-3,0,4,0.1,0.578215164340524,-0.0390900685136366,-0.13199373557865,1.0072567953666,-1.31505735303736,0.837969386872078,-1.09919071312069,0.640203557354707,-0.860176561623041,0.018,0.034,0.084,-0.0966972549844672
"26",26,-3,1,4,0.1,0.611045815984086,1.34145689267147,0.928649393736854,2.12351553004012,-0.0407104882856343,1.94716503746764,0.139779634351326,1.74571834879768,0.344799630097486,0,0,0,1.04614486162726
"27",27,-3,2,4,0.1,0.728711736425913,2.41323577237169,1.89833923933353,3.26160098254833,0.872925632221167,3.04538598736346,1.05273154057009,2.80514831004059,1.26114835263123,0,0,0,2.02382282784954
"28",28,-3,3,4,0.1,0.59245608126345,2.90729376390005,2.817975549603,4.34046968173059,1.54505453068148,4.06916895693984,1.73828899153293,3.77006394484617,1.96530615363993,0,0,0,2.845767849031
"29",29,-3,-3,1,0.3,0.436633409370081,-2.61067424430147,-2.40661574551936,-0.790735346110385,-4.9517989911704,-1.02686913211152,-4.50393565914098,-1.31352222986026,-4.00942101946435,0.97,0.986,1,-2.59249105105507
"30",30,-3,-2,1,0.3,0.810735515488689,-2.61067424430147,-1.92438708346364,-0.503386441401275,-4.25255272074234,-0.722597440946051,-3.85170282792851,-0.987381857974762,-3.41234161179659,0.828,0.91,0.972,-2.14226198866278
"31",31,-3,-1,1,0.3,0.752272716025691,-0.641158423794436,-1.14910098574165,0.2788164632828,-2.58879464704461,0.0922648869821341,-2.29683571277398,-0.130220783972111,-1.97763252854971,0.296,0.42,0.584,-1.0245741828148
"32",32,-3,0,1,0.3,0.587742138111681,0.0496509638937835,-0.13199373557865,1.0761516733403,-1.33835593246646,0.899997275896866,-1.11302397819417,0.695086717556127,-0.863598910070319,0.018,0.036,0.082,-0.0707726406529711
"33",33,-3,1,1,0.3,0.717337944550777,1.52471634493595,0.928649393736854,2.21272111068398,-0.0523305644443299,2.02730724550738,0.137095113192558,1.81637913598005,0.35140307367214,0,0,0,1.08471768379439
"34",34,-3,2,1,0.3,1.09785423250118,2.92045560874479,1.89833923933353,3.44700340128952,0.902566480936916,3.21167816431384,1.09233749493974,2.95309723177985,1.31140594353375,0,0,0,2.1201101418123
"35",35,-3,3,1,0.3,0.599467286747204,2.70522743686692,2.817975549603,4.38486484714631,1.51199752780884,4.10757205300894,1.710960546574,3.80045148067557,1.94607675368733,0,0,0,2.85121168008479
"36",36,-3,-3,2,0.3,0.710089693905469,-3.11586543050954,-2.40661574551936,-0.985251111230001,-5.06355574339299,-1.21177803162852,-4.61821689054313,-1.4900597117551,-4.13056312010121,0.998,1,1,-2.7422911449454
"37",37,-3,-2,2,0.3,1.19186967540721,-3.11586543050954,-1.92438708346364,-0.718486045439994,-4.3877626734917,-0.929212965008029,-3.99176395842007,-1.18511112201448,-3.55768448593818,0.944,0.98,0.996,-2.31474831297181
